Name,STA,STA_YEAR
GENERALI Mauro,-,
MALINA Mateusz,09:35,2017
MAKSIMOV Aleksandr,09:17,2025
CHAN Kai-Hsiang,08:41,2025
KUBIAK Piotr,08:32,2025
KIM Hakyong,07:57,2025
BRIANTSEV Mikhail,07:35,2025
LEE Po-Yen,07:33,2025
QUESADA Francisco,07:23,2024
SOPRONYI Andras,07:16,2025
MILOSIC Boris,07:13,2024
BOCHENEK Michal,07:08,2024
RULAND Fernando,06:53,2025
BOURDILA Guillaume,06:42,2025
NYMO Carl-Oscar,06:29,2025
PAVKOVIC Nenad,06:13,2021
DE WET Anton,06:13,2025
SADAN Valentin,06:12,2025
PELES Vanja,06:07,2017
CERIMAGIC Enes,04:26,2017
ELU Olivier,,
